user,rating,date,region,review
Worldwidehavok,4,"April 25, 2021",Reviewed in the United States,"I love books. Paper books. But, when traveling, they are not ideal. Aside from being heavy, they take up valuable luggage space. So, I broke down and bought my first Kindle. So far, I love it  I've read about 15 books on it in the first month ive used it.  Amazon gives you $5 to the Kindle store so I used that and all the other books I've gotten using my Libby pr Overdrive app.One of the main reasons I bought the Kindle I did is because I wanted library access. The only complaint is that I have to sign in every time to load a book to the Kindle. I use a VPN, so I get a text from Amazon to verify my log in. This is a bit obnoxious, but only take ls a few seconds.I read every night and the self-adjusting light is excellent. I also bought a case and I highly recommend getting one when you order your Kindle.The issues I've run into are:1.  The touch screen isn't as sensitive as a phone. So, you may have to tap a few times to get where you want to go.2.  Since the first charge, my Kindle will only get to 98% and no higher. I wait to charge until I'm less than 30%, usually much lower. Not sure if this is a common issue.3.  Wifi with a password at a hotel did not work. The Kindle would not open the password/sign on page. This was a hassle for a week as I had to tether to my phone hot spot every time I wanted to download or return a book.Overall, I am super happy with my first Kindle. I still love a paper book, but this is so much easier to travel with and swap books based on mood."
JackandCyn1,2,"August 29, 2020",Reviewed in the United States,"Warning: this will be a long review.  First, I've owned Kindle e-readers since the Kindle keyboard.  I love to read.  I love to re-read my books - isn't that why we buy a device to haul all of our books around?  No more second suitcase for vacations, or bookbags to bring with my purse?  When my Kindle Voyage started to die, I started researching the new Kindles.  The biggest draw to the Oasis for me was the larger storage capapbilities.  No more having ""too many books"" for my Kindle to hold.  The second draw was the battery life- it was one of my favorite things about the Voyage.  My battery would last a week with it (yes, I read a LOT - sometimes my Kindle is on upwards of 15 hours a day).  So, imagine my disappointment when my new Oasis battery lasted 36 hours.  Ok,  I get it - I was downloading books and collections.  It takes a lot of battery.  But I am not so new to Kindle that I didn't already have the screen turned down and airplane mode on when not downloading.  It didn't matter - 36 hours.  After doing 2 factory resets with the aid of Kindle support (come on, I just want to read my books, not continuously reset my device and have to re-download everything), they finally decided the best thing to do was to send me a new one.  Maybe my first was a fluke..  No.  36 hours.  Amazon offered to replace it again.  I said no - if the battery is supposed to last 3 weeks (what I was told by the rep) and I read a lot, it should still be lasting a week!  So with the help of Jessica H (this girl is a gem - you guys need to give her a raise!), the downloaded my ""logs"" to the tech team.  When the tech team couldn't figure anything out, they had me manually download the logs and email them in.  Then I did a factory reset.  Then they had me let my Oasis completely deplete, wait for 2 minutes before plugging it in and recharging it, and then logging the battery constantly for the next 24+ hours.  Oh - but in the meantime the techs came back with the brilliant reasoning that the reason my battery wasn't lasting was that I had TOO MANY books downloaded to my device!  WTH?!  I had just gotten it and done factory restarts on it - there are less than 200 books on there!  And wait - wasn't that the whole point to having 32 GB of memory - so I COULD have my books on my device????  At the end of the call back, the only option they had for me was to once again replace a $260 device that had already failed TWICE.  Why?  Because my original purchase was 70 days ago, so I was beyond the return period.  Luckily Jessica H (seriously - wonderful, helpful, and always called when she said she would) spent THREE HOURS to get an exception to allow the return.  I will go out of Amazon and buy a replacement battery for my Voyage.  If I replace my Voyage again, it will be with a basic $99 Kindle - because I know what to expect from that - and not have high hopes that I had with the Oasis."
Dave_5k,3,"October 21, 2020",Reviewed in the United States,"Outstanding experience other than battery life, which is at best 1/3 of my paperwhite for actual usable reading time.  Love having the page turn buttons which was primary reason for getting the oasis. Slightly uncomfortable to hold 1-handed, but able to adjust & like the ability to switch hands & have screen auto-rotate.However, for trips, looks like I'll stick with the old Paperwhite. Paperwhite I can take on trip for a week, read heavily the entire trip, and come back with 50% power.  Oasis is dead after 3 days of heavy reading. Using both with wireless off, and at very low brightness.  On plus side Oasis does charge its itty bitty battery much faster, so if you don't mind being tethered to keeping an extra charger along, it is basically like another phone to charge every other day or so of heavy use."
CWM,3,"June 17, 2020",Reviewed in the United States,"The functionality usability readability etc are all excellent. This is my 4th kindle and I jumped once I saw another model with physical buttons to touch to turn pages. In my opinion going away from that option is the biggest downfall in kindle design after they removed it post “keyboard” editions.The battery life however is abysmal. Even legacy models were, as advertised, good for weeks between charges, and that was with reading on it on a more than average basis. This Oasis with warm light however is dead inside three days with minimal use. For example, I charged it two days ago so I can read before bed. I read that night, again when I woke up in the middle of the night for a bit, same last night, and it has already died on me on the third night. I don’t use a very high backlight so it shouldn’t be draining this fast.The older paper white I had did this and a call to customer service and an update solved the battery drain but amazon has gotten so global it no longer values customer service. If I can get a person on the phone to try to troubleshoot this oasis they barely speak English and if they do are rude and dismissive and I have been disconnected each time before they tried to fix the problem.Fix what you have amazon, before trying to add more services only one or two areas have access to, or using us to underwrite more terrible amazon tv shows. You are close to losing a customer."
Zippy1643,4,"October 10, 2019",Reviewed in the United States,"Easy to set up.  Like the Bluetooth connectivity.  Easy to download and unload books using Kindle Unlimited.  The device is comfortable to hold and is lightweight.  I do like the setting capability for warm/bright white.  You will need the Wifi connection to get definitions of word, likewise to download books.  Have not used audible books as yet.  Compared to white light Kindle battery life may be somewhat shorter but it is okay for me.The browser is actually useless.  Too sensitive to enlarge screen and to interact with internet source.  Like when connecting at free wi-fi sites.  Screen display for browser is very poor.  (It is not the same as the reading screen for books downloaded).  Hopefully Amazon will have a software update."
David Rosenberg,5,"August 26, 2020",Reviewed in the United States,"I have had a Kindle Paperwhite for quite a few years.  Doing more reading in the dark, I thought it time to try spending the money on the current generation Oasis (for more uniform illumination and the warm light feature).  After owning it, I do also find I like the lighter weight and the balance of having more mass around the edge with the buttons.  My first ever e-reader was a non-touch Kobo...in which you held it at the bottom and scrolled through with a D-pad.  Having two buttons on the side seems more natural as a page turn.After setting up my Oasis, I started seeing two bright spots.  I contacted Amazon and there were not many questions until they issued me a replacement.  It was sent immediately, and it's holding up (I haven't had this level of service with Amazon before).There are a few aspects about the reader that people may be critical of.  The first is that it's meant for the Amazon echo-system.  For the Kindle books that you've bought/acquired....those are easy to sync to your new device (and keep in their collections).  I've used Caliber for converting other downloaded eBooks to Kindle format.  I've found I've had to manually upload them and then add them to collections once in the Kindle (trying to copy from ""documents"" from the old Kindle to new didn't work so well).The second aspect is battery life.  I like having the Kindle illuminated, which I know draws more power.  It does seem as though battery life is less than my old Paperwhite, but I don't have issues with charging more frequently.  I also haven't thrown out my old USB cables and power adapters, so I don't have as much grievance with this reader having micro-USB instead of USB C.The third is the interface for disabling the screen if all you want to use is the buttons (which I like, so that I can clean the screen of any flecks and not accidentally brush it and then pages are advanced).  You have to be in a book before going to the menu, tapping the ... button, then you have the option for turning off the screen.  That in itself isn't too hard....but then it stays like that until you put the Kindle to sleep.  Then, once you wake it up again, the touchscreen is now active.  I'd prefer a way to set touchscreen as being inactive permanently....and then perhaps over-riding by an action with the buttons (like, for example, pressing either button for a set period of time)."
Dave C,3,"January 14, 2020",Reviewed in the United States,"Buttons, I have been missing them, but the Oasis really is so far from perfect. I like to read with one hand, so buttons on the side, or back would be so much better. My Voyager was the right size to fit in a back pocket, this one is too wide for that. It's a good size for reading, and the screen is excellent. I really like the orange backlight for reading in a dark room.Make a kindle that is a little thicker than the oasis, same size screen, all plastic (less slippery than the Oasis), with physical buttons on the sides (both sides!) or back, orange backlight, and you'll have the perfect ebook reader.  Buttons on just one side, and the back would be acceptable if the screen rotates like the Oasis."
J. Reyes,5,"October 20, 2019",Reviewed in the United States,Love it. With as fast as I swap out tech my kindle PW3 was the only thing I kept and used constantly. This year I finally decided to upgrade my beloved kindle to the new oasis 3.I couldn’t be happier. The new oasis has a fantastic screen. Battery life has been excellent. I love the physical buttons. And the build quality is outstanding.It is my hope it holds up as well as my previous kindle PW3 and will serve me many years. I paired it with the leather case. Not the premium version just the standard and the fit and finish are amazing in hand. So far so good.I highly recommend this kindle. Especially if your coming from a much older model. It may not be much of a upgrade for those who have last years model but for me it was a huge leap forward.
Heather O,4,"June 22, 2020",Reviewed in the United States,"I am a long time kindle user and have had several. My most recent is the 1st Oasis and I loved it. My main problem with it was with the charging cover. I didn’t like that it came off so easily and over time, it stopped switching from the cover to the main battery automatically so I had to remove it to keep reading. I liked that it made the oasis flat so I kept it on until I had to recharge.After reading about this new version having an amber light I decided to upgrade. Plus it’s waterproof and I read in the tub a lot. The screen is evenly lit, the warmer light is wonderful, the interface is fast, and its overall great.That being said, the size difference was a lot more noticeable than I expected. It’s very large. At least as big as my old paper white which I always felt was bulky. It seems unwieldy after using the Oasis 1 for the last few years. One of the things I loved about the oasis was the portable size that fit so well in my hand, purse, or jacket pocket. I will keep this and use it, but the second they come out with one similar in size to the original, with the bells and whistles this has, and with a seamless ergonomic case, I’m trading this bad boy in."
James R. Van der Veen,5,"February 22, 2021",Reviewed in the United States,"As an old fart, an instruction and operations manual would be great. Also a trouble shooting guide would be wonderful. I had to return my first unit after spending 50 minutes with a very nice Amazon helper. She and I both agreed I needed a new one. Well, I hot the new one and had a lot of similar issues, but the issue is knowing how to use it. Now, after about 40 books, I've almost figured out how to use the damn thing. But I  read for 3 to 5 hours a night as part of my sleeping routine. I don't sleep well. I also use blue light glasses to cut the blue light hitting my eyes. My cell phone has this as an additional feature. Well, I've read a lot of books, all action/adventure, and I'm not sleeping any worse, but not a lot better. I think my problem is subject matter. I live in south Florida, have spent years in the Bahamas and Keys, and this is the backdrop to all of my books. So, I will now start searching of non-action/adventure style books. Might end up reading the Bible, but it's action/adventure most of the time on an even larger format.  So who knows??"
